Color Style ,Aroma Intensity,Alcoholic Strength,Bitterness Intensity,Foam Level,Willing to pay (MXN)...,Score,Rank,Lower boundary of 90% confidence interval,Upper boundary of 90% confidence interval
Very dark color,Low intensity aromas,Very intense alcohol content,Low bitterness,Low foam,$50-$59,15.1423,52,13.5859,16.8227
Very dark color,Intense aromas,Very intense alcohol content,Low bitterness,No or very low foam,$60-$69,15.1157,53,13.7206,16.7711
Very dark color,Very intense aromas,Very intense alcohol content,Low bitterness,Low foam,$30-$39,15.0822,54,13.4295,16.6107
Very dark color,Medium intensity aromas,Very intense alcohol content,Medium bitterness,No or very low foam,$40-$49,15.0568,55,13.8112,16.2659
Very dark color,Medium intensity aromas,Very intense alcohol content,Low bitterness,Medium foam,$30-$39,15.056,56,13.5061,16.5561
Very dark color,Low intensity aromas,Very intense alcohol content,Medium bitterness,No or very low foam,$60-$69,15.0237,57,13.8209,16.1665
Pale color,Low intensity aromas,Medium alcohol content,Low bitterness,Medium foam,$30-$39,14.9364,58,13.3719,16.5074
Very dark color,Medium intensity aromas,Very intense alcohol content,Low bitterness,Low foam,$60-$69,14.9063,59,13.2857,16.6309
Pale color,Low intensity aromas,Intense alcohol content,Medium bitterness,Medium foam,$30-$39,14.8951,60,13.5487,16.1859
Very dark color,Intense aromas,Medium alcohol content,Low bitterness,No or very low foam,$40-$49,14.7714,61,13.3342,16.4488
Very dark color,Low intensity aromas,Very intense alcohol content,Intense bitterness,No or very low foam,$30-$39,14.7627,62,13.1894,16.4614
Very dark color,Low intensity aromas,Very intense alcohol content,No or very low bitterness,No or very low foam,$40-$49,14.7114,63,13.4916,16.1518
Very dark color,Low intensity aromas,Medium alcohol content,Medium bitterness,No or very low foam,$40-$49,14.6794,64,13.3033,15.9837
Very dark color,Low intensity aromas,Medium alcohol content,Low bitterness,Medium foam,$30-$39,14.6786,65,13.2721,16.2044
Very dark color,Low intensity aromas,Very intense alcohol content,Very intense bitterness,No or very low foam,$40-$49,14.6396,66,13.3653,15.8582
Very dark color,Intense aromas,Intense alcohol content,Low bitterness,No or very low foam,$30-$39,14.6292,67,12.9984,16.2216
Very dark color,Medium intensity aromas,Medium alcohol content,Low bitterness,Low foam,$40-$49,14.562,68,13.0143,16.3982
Very dark color,Low intensity aromas,Intense alcohol content,Medium bitterness,No or very low foam,$30-$39,14.5372,69,13.0199,15.9241
Very dark color,Low intensity aromas,Medium alcohol content,Low bitterness,Low foam,$60-$69,14.5288,70,13.1548,16.2371
Pale color,Low intensity aromas,Intense alcohol content,Low bitterness,Medium foam,$30-$39,14.5248,71,13.0722,15.9592
Very dark color,Intense aromas,Very intense alcohol content,Medium bitterness,No or very low foam,$30-$39,14.4836,72,12.5477,16.1872
Very dark color,Medium intensity aromas,Intense alcohol content,Low bitterness,Low foam,$30-$39,14.4198,73,12.741,15.9683
Pale color,Medium intensity aromas,Medium alcohol content,Intense bitterness,Medium foam,$30-$39,14.3356,74,12.5988,16.0432
Very dark color,Medium intensity aromas,Very intense alcohol content,Medium bitterness,Low foam,$30-$39,14.2742,75,12.5221,15.8837
