Color Style ,Aroma Intensity,Alcoholic Strength,Bitterness Intensity,Foam Level,Willing to pay (MXN)...,Score,Rank,Lower boundary of 90% confidence interval,Upper boundary of 90% confidence interval
Very dark color,Very intense aromas,Very intense alcohol content,Low bitterness,No or very low foam,$50-$59,10.6696,224,9.1101,12.2942
Very dark color,Very intense aromas,Very intense alcohol content,Low bitterness,Medium foam,$40-$49,10.6484,225,9.2763,12.1736
Very dark color,Low intensity aromas,Intense alcohol content,Intense bitterness,No or very low foam,$30-$39,10.6184,226,8.9373,12.2601
Very dark color,Medium intensity aromas,Very intense alcohol content,Medium bitterness,Low foam,$60-$69,10.6164,227,8.9494,12.172
Brown color,Medium intensity aromas,Very intense alcohol content,Low bitterness,Low foam,$40-$49,10.5911,228,8.9831,12.3074
Very dark color,Low intensity aromas,Intense alcohol content,No or very low bitterness,No or very low foam,$40-$49,10.5671,229,9.3086,11.8523
Very dark color,Intense aromas,Very intense alcohol content,Intense bitterness,No or very low foam,$30-$39,10.5648,230,8.6695,12.4597
Amber color,Medium intensity aromas,Medium alcohol content,Medium bitterness,Low foam,$30-$39,10.5445,231,8.865,12.3309
Very dark color,Intense aromas,Very intense alcohol content,No or very low bitterness,No or very low foam,$40-$49,10.5135,232,9.2558,12.0122
Very dark color,Low intensity aromas,Intense alcohol content,Very intense bitterness,No or very low foam,$40-$49,10.4953,233,9.1398,11.672
Very dark color,Intense aromas,Medium alcohol content,Medium bitterness,No or very low foam,$40-$49,10.4815,234,9.1932,11.7729
Very dark color,Intense aromas,Medium alcohol content,Low bitterness,Medium foam,$30-$39,10.4807,235,9.0904,11.9707
Very dark color,Intense aromas,Very intense alcohol content,Very intense bitterness,No or very low foam,$40-$49,10.4417,236,8.7385,12.1686
Very dark color,Low intensity aromas,Very intense alcohol content,Low bitterness,High foam,$50-$59,10.4376,237,8.9517,12.0522
Very dark color,Low intensity aromas,Very intense alcohol content,No or very low bitterness,Medium foam,$30-$39,10.4207,238,8.8707,11.9086
Brown color,Intense aromas,Intense alcohol content,Medium bitterness,Medium foam,$40-$49,10.4089,239,8.1784,12.8032
Very dark color,Low intensity aromas,Medium alcohol content,Medium bitterness,Medium foam,$30-$39,10.3887,240,8.867,11.6965
Very dark color,Very intense aromas,Very intense alcohol content,Low bitterness,High foam,$30-$39,10.3774,241,8.6309,12.108
Very dark color,Medium intensity aromas,Very intense alcohol content,Intense bitterness,Low foam,$30-$39,10.3554,242,8.4387,12.3251
Pale color,Low intensity aromas,Intense alcohol content,Low bitterness,Medium foam,$40-$49,10.3547,243,8.9432,11.7035
Very dark color,Low intensity aromas,Very intense alcohol content,Very intense bitterness,Medium foam,$30-$39,10.3489,244,8.392,12.1074
Very dark color,Intense aromas,Intense alcohol content,Medium bitterness,No or very low foam,$30-$39,10.3393,245,8.3989,11.9843
Very dark color,Intense aromas,Medium alcohol content,Low bitterness,Low foam,$60-$69,10.3309,246,9.0957,11.8403
Very dark color,Medium intensity aromas,Very intense alcohol content,No or very low bitterness,Low foam,$40-$49,10.3041,247,9.055,11.8308
Very dark color,Medium intensity aromas,Medium alcohol content,Medium bitterness,Low foam,$40-$49,10.2721,248,8.8287,11.7167
Very dark color,Low intensity aromas,Very intense alcohol content,No or very low bitterness,Low foam,$60-$69,10.271,249,8.5242,11.9186
Very dark color,Low intensity aromas,Medium alcohol content,Medium bitterness,Low foam,$60-$69,10.2389,250,8.9998,11.4947
Brown color,Intense aromas,Very intense alcohol content,Medium bitterness,Medium foam,$40-$49,10.2383,251,8.1386,12.5963
Pale color,Medium intensity aromas,Medium alcohol content,Medium bitterness,Medium foam,$60-$69,10.2372,252,8.4911,12.1396
Very dark color,Medium intensity aromas,Very intense alcohol content,Very intense bitterness,Low foam,$40-$49,10.2323,253,8.7451,11.718
Very dark color,Medium intensity aromas,Very intense alcohol content,Low bitterness,High foam,$60-$69,10.2015,254,8.7545,11.8537
Very dark color,Low intensity aromas,Very intense alcohol content,Very intense bitterness,Low foam,$60-$69,10.1992,255,8.7965,11.5694
Pale color,Low intensity aromas,Medium alcohol content,Medium bitterness,Medium foam,$50-$59,10.1683,256,8.2693,12.0579
Pale color,Medium intensity aromas,Medium alcohol content,Intense bitterness,Medium foam,$40-$49,10.1655,257,8.5345,11.6688
Very dark color,Medium intensity aromas,Intense alcohol content,Medium bitterness,Low foam,$30-$39,10.1299,258,8.2803,11.9079
Very dark color,Very intense aromas,Medium alcohol content,Low bitterness,No or very low foam,$60-$69,10.0561,259,8.6162,11.7808
Very dark color,Low intensity aromas,Very intense alcohol content,Low bitterness,Low foam,$70 or more,10.0349,260,8.2636,12.0186
Very dark color,Very intense aromas,Intense alcohol content,Low bitterness,Low foam,$40-$49,10.0122,261,8.4146,11.7953
Very dark color,Medium intensity aromas,Intense alcohol content,Low bitterness,No or very low foam,$50-$59,10.0073,262,8.4305,11.568
Very dark color,Medium intensity aromas,Intense alcohol content,Low bitterness,Medium foam,$40-$49,9.986,263,8.5324,11.4574
Very dark color,Low intensity aromas,Medium alcohol content,Intense bitterness,Low foam,$30-$39,9.978,264,8.3116,11.5309
Very dark color,Low intensity aromas,Intense alcohol content,Low bitterness,Medium foam,$60-$69,9.9529,265,8.4317,11.6083
Very dark color,Low intensity aromas,Medium alcohol content,No or very low bitterness,Low foam,$40-$49,9.9267,266,8.7712,11.3573
Very dark color,Intense aromas,Very intense alcohol content,Low bitterness,Medium foam,$60-$69,9.8993,267,8.2691,11.7595
Pale color,Medium intensity aromas,Medium alcohol content,Low bitterness,Medium foam,$60-$69,9.867,268,8.3978,11.4239
Very dark color,Very intense aromas,Very intense alcohol content,Medium bitterness,Low foam,$40-$49,9.8666,269,8.1518,11.4217
Very dark color,Medium intensity aromas,Very intense alcohol content,Medium bitterness,No or very low foam,$50-$59,9.8617,270,8.1349,11.5211
Very dark color,Medium intensity aromas,Medium alcohol content,No or very low bitterness,No or very low foam,$30-$39,9.8616,271,8.5658,11.3242
Very dark color,Medium intensity aromas,Medium alcohol content,Low bitterness,High foam,$40-$49,9.8572,272,8.1532,11.9864
Very dark color,Low intensity aromas,Medium alcohol content,Very intense bitterness,Low foam,$40-$49,9.8549,273,8.6629,10.8999
Brown color,Medium intensity aromas,Intense alcohol content,Medium bitterness,High foam,$40-$49,9.8469,274,8.0221,11.6636
Very dark color,Medium intensity aromas,Very intense alcohol content,Medium bitterness,Medium foam,$40-$49,9.8404,275,8.2716,11.3539
Pale color,Intense aromas,Medium alcohol content,Intense bitterness,Medium foam,$30-$39,9.8299,276,7.9315,11.5817
Pale color,Medium intensity aromas,Intense alcohol content,Medium bitterness,Medium foam,$60-$69,9.8257,277,8.3822,11.3238
Very dark color,Low intensity aromas,Medium alcohol content,Low bitterness,High foam,$60-$69,9.8241,278,8.0322,11.84
Amber color,Intense aromas,Medium alcohol content,Medium bitterness,Low foam,$40-$49,9.809,279,7.9321,11.7665
Very dark color,Low intensity aromas,Very intense alcohol content,Medium bitterness,Medium foam,$60-$69,9.8073,280,8.3265,11.2134
Pale color,Low intensity aromas,Medium alcohol content,Low bitterness,Medium foam,$50-$59,9.798,281,8.1829,11.5134
Amber color,Medium intensity aromas,Medium alcohol content,Intense bitterness,Low foam,$40-$49,9.7943,282,8.0794,11.6116
Very dark color,Medium intensity aromas,Medium alcohol content,Very intense bitterness,No or very low foam,$30-$39,9.7898,283,8.3755,11.0114
Very dark color,Low intensity aromas,Intense alcohol content,No or very low bitterness,Low foam,$30-$39,9.7845,284,8.308,11.1399
Pale color,Low intensity aromas,Intense alcohol content,Medium bitterness,Medium foam,$50-$59,9.7568,285,8.3033,11.2534
Pale color,Medium intensity aromas,Intense alcohol content,Intense bitterness,Medium foam,$40-$49,9.754,286,8.1783,11.2115
Very dark color,Intense aromas,Very intense alcohol content,No or very low bitterness,Low foam,$30-$39,9.7309,287,8.0199,11.3355
Very dark color,Medium intensity aromas,Intense alcohol content,Low bitterness,High foam,$30-$39,9.715,288,7.9856,11.3183
Very dark color,Low intensity aromas,Intense alcohol content,Very intense bitterness,Low foam,$30-$39,9.7127,289,7.9056,11.2603
Very dark color,Intense aromas,Medium alcohol content,Medium bitterness,Low foam,$30-$39,9.6989,290,8.1507,11.1666
Very dark color,Low intensity aromas,Intense alcohol content,Intense bitterness,No or very low foam,$40-$49,9.6927,291,8.1822,11.0877
Brown color,Medium intensity aromas,Very intense alcohol content,Medium bitterness,High foam,$40-$49,9.6763,292,7.919,11.4755
Very dark color,Intense aromas,Very intense alcohol content,Very intense bitterness,Low foam,$30-$39,9.6591,293,7.6329,11.8043
Very dark color,Intense aromas,Very intense alcohol content,Intense bitterness,No or very low foam,$40-$49,9.6391,294,8.0275,11.3122
Very dark color,Intense aromas,Medium alcohol content,Low bitterness,No or very low foam,$50-$59,9.5762,295,8.2826,10.98
Very dark color,Medium intensity aromas,Very intense alcohol content,Medium bitterness,High foam,$30-$39,9.5695,296,7.928,11.044
Brown color,Intense aromas,Intense alcohol content,Low bitterness,Medium foam,$40-$49,9.5659,297,7.6365,11.6368
Brown color,Very intense aromas,Intense alcohol content,Medium bitterness,Medium foam,$40-$49,9.5615,298,7.1853,11.9855
Very dark color,Intense aromas,Medium alcohol content,Low bitterness,Medium foam,$40-$49,9.555,299,8.0769,11.2023
Very dark color,Low intensity aromas,Very intense alcohol content,Intense bitterness,Medium foam,$30-$39,9.5463,300,7.781,11.3979
Very dark color,Low intensity aromas,Very intense alcohol content,No or very low bitterness,No or very low foam,$50-$59,9.5163,301,7.9881,10.9888
Very dark color,Low intensity aromas,Very intense alcohol content,No or very low bitterness,Medium foam,$40-$49,9.4951,302,8.1021,10.9295
Very dark color,Low intensity aromas,Medium alcohol content,Medium bitterness,No or very low foam,$50-$59,9.4842,303,8.2794,10.6836
Amber color,Medium intensity aromas,Medium alcohol content,Medium bitterness,Low foam,$50-$59,9.4756,304,7.7121,11.427
Very dark color,Low intensity aromas,Medium alcohol content,Medium bitterness,Medium foam,$40-$49,9.463,305,8.0844,10.8453
Very dark color,Very intense aromas,Very intense alcohol content,No or very low bitterness,No or very low foam,$30-$39,9.4561,306,7.9241,11.0098
Pale color,Medium intensity aromas,Intense alcohol content,Low bitterness,Medium foam,$60-$69,9.4554,307,8.2023,10.6956
Very dark color,Very intense aromas,Very intense alcohol content,Low bitterness,High foam,$40-$49,9.4517,308,8.0451,11.0831
Amber color,Intense aromas,Medium alcohol content,Medium bitterness,Low foam,$30-$39,9.4448,309,7.5214,11.337
Very dark color,Low intensity aromas,Very intense alcohol content,Very intense bitterness,No or very low foam,$50-$59,9.4445,310,7.8236,10.9653
Amber color,Medium intensity aromas,Medium alcohol content,Intense bitterness,Low foam,$30-$39,9.4301,311,7.9177,10.9279
Very dark color,Medium intensity aromas,Very intense alcohol content,Intense bitterness,Low foam,$40-$49,9.4297,312,7.9107,11.0674
Amber color,Medium intensity aromas,Medium alcohol content,Medium bitterness,Low foam,$70 or more,9.4246,313,7.6474,11.2887
Very dark color,Very intense aromas,Medium alcohol content,Medium bitterness,No or very low foam,$30-$39,9.4241,314,7.6979,11.1567
Very dark color,Low intensity aromas,Very intense alcohol content,Very intense bitterness,Medium foam,$40-$49,9.4232,315,7.8972,10.9292
Pale color,Intense aromas,Intense alcohol content,Intense bitterness,Medium foam,$30-$39,9.4184,316,7.7072,11.0971
Very dark color,Intense aromas,Intense alcohol content,Medium bitterness,No or very low foam,$40-$49,9.4136,317,7.8401,10.7944
Very dark color,Intense aromas,Intense alcohol content,Low bitterness,Medium foam,$30-$39,9.4128,318,7.6327,11.0568
Very dark color,Low intensity aromas,Very intense alcohol content,Intense bitterness,Low foam,$60-$69,9.3966,319,8.0048,10.9554
Brown color,Intense aromas,Very intense alcohol content,Low bitterness,Medium foam,$40-$49,9.3953,320,7.4205,11.4764
Brown color,Very intense aromas,Very intense alcohol content,Medium bitterness,Medium foam,$40-$49,9.391,321,7.0665,11.8323
Pale color,Low intensity aromas,Intense alcohol content,Low bitterness,Medium foam,$50-$59,9.3865,322,7.9408,10.8964
Very dark color,Very intense aromas,Very intense alcohol content,Very intense bitterness,No or very low foam,$30-$39,9.3843,323,7.3835,11.2548
Very dark color,Medium intensity aromas,Medium alcohol content,Low bitterness,Low foam,$50-$59,9.3668,324,7.8745,10.9905
Very dark color,Low intensity aromas,Intense alcohol content,Medium bitterness,Medium foam,$30-$39,9.3208,325,7.5603,10.8469
Very dark color,Intense aromas,Medium alcohol content,Low bitterness,High foam,$30-$39,9.284,326,7.5799,11.2067
Brown color,Intense aromas,Intense alcohol content,Medium bitterness,Low foam,$40-$49,9.2837,327,7.1213,11.5108
Very dark color,Medium intensity aromas,Very intense alcohol content,No or very low bitterness,No or very low foam,$60-$69,9.2803,328,7.6833,10.9446
Very dark color,Intense aromas,Very intense alcohol content,Medium bitterness,Medium foam,$30-$39,9.2672,329,7.1557,11.232
Very dark color,Intense aromas,Intense alcohol content,Low bitterness,Low foam,$60-$69,9.2631,330,7.5341,11.0796
Very dark color,Medium intensity aromas,Medium alcohol content,Medium bitterness,No or very low foam,$60-$69,9.2482,331,8.0439,10.4634
Very dark color,Low intensity aromas,Very intense alcohol content,No or very low bitterness,High foam,$30-$39,9.2241,332,7.6644,10.8149
Brown color,Medium intensity aromas,Intense alcohol content,Medium bitterness,Medium foam,$50-$59,9.2162,333,7.5523,10.8225
Very dark color,Medium intensity aromas,Very intense alcohol content,Very intense bitterness,No or very low foam,$60-$69,9.2084,334,7.8324,10.5485
Pale color,Low intensity aromas,Medium alcohol content,Medium bitterness,High foam,$30-$39,9.2052,335,7.7737,10.6471
Very dark color,Medium intensity aromas,Intense alcohol content,Medium bitterness,Low foam,$40-$49,9.2042,336,7.564,10.793
Pale color,Medium intensity aromas,Medium alcohol content,Intense bitterness,Medium foam,$50-$59,9.1973,337,7.3452,11.1039
Very dark color,Low intensity aromas,Medium alcohol content,Medium bitterness,High foam,$30-$39,9.192,338,7.4732,10.79
Pale color,Intense aromas,Medium alcohol content,Medium bitterness,Medium foam,$40-$49,9.1811,339,7.4972,10.7665
Very dark color,Low intensity aromas,Intense alcohol content,Medium bitterness,Low foam,$60-$69,9.1711,340,7.5157,10.6966
Very dark color,Low intensity aromas,Very intense alcohol content,Very intense bitterness,High foam,$30-$39,9.1523,341,7.4704,10.7745
Very dark color,Intense aromas,Very intense alcohol content,Medium bitterness,Low foam,$60-$69,9.1175,342,7.4242,10.7253
Brown color,Intense aromas,Very intense alcohol content,Medium bitterness,Low foam,$40-$49,9.1131,343,7.0108,11.2767
Very dark color,Low intensity aromas,Medium alcohol content,Intense bitterness,Low foam,$40-$49,9.0523,344,7.6236,10.6168
Brown color,Medium intensity aromas,Very intense alcohol content,Medium bitterness,Medium foam,$50-$59,9.0456,345,7.3843,10.7864
Very dark color,Medium intensity aromas,Very intense alcohol content,Low bitterness,No or very low foam,$70 or more,9.0442,346,7.3533,10.985
Brown color,Medium intensity aromas,Intense alcohol content,Low bitterness,High foam,$40-$49,9.0039,347,7.4111,10.5656
Brown color,Medium intensity aromas,Intense alcohol content,Medium bitterness,Medium foam,$60-$69,8.9904,348,7.4955,10.5507
Very dark color,Very intense aromas,Intense alcohol content,Low bitterness,No or very low foam,$60-$69,8.9883,349,7.4804,10.7074
Very dark color,Medium intensity aromas,Medium alcohol content,Intense bitterness,No or very low foam,$30-$39,8.9872,350,7.3334,10.6123
Brown color,Medium intensity aromas,Intense alcohol content,Medium bitterness,Medium foam,$30-$39,8.9668,351,7.3635,10.7626
Very dark color,Very intense aromas,Very intense alcohol content,Low bitterness,Low foam,$50-$59,8.9613,352,7.2933,10.7143
Very dark color,Medium intensity aromas,Medium alcohol content,No or very low bitterness,No or very low foam,$40-$49,8.936,353,7.5702,10.453
Very dark color,Medium intensity aromas,Very intense alcohol content,Low bitterness,Medium foam,$50-$59,8.9352,354,7.247,10.5674
Very dark color,Low intensity aromas,Intense alcohol content,Intense bitterness,Low foam,$30-$39,8.9101,355,6.9128,10.7792
Very dark color,Low intensity aromas,Medium alcohol content,No or very low bitterness,No or very low foam,$60-$69,8.9028,356,7.4547,10.5395
Very dark color,Medium intensity aromas,Medium alcohol content,Very intense bitterness,No or very low foam,$40-$49,8.8641,357,7.6304,10.0318
Very dark color,Low intensity aromas,Intense alcohol content,No or very low bitterness,Low foam,$40-$49,8.8588,358,7.5637,10.2376
Very dark color,Intense aromas,Very intense alcohol content,Intense bitterness,Low foam,$30-$39,8.8565,359,6.8137,10.9222
Very dark color,Very intense aromas,Very intense alcohol content,Medium bitterness,No or very low foam,$60-$69,8.8427,360,7.245,10.3407
Pale color,Low intensity aromas,Medium alcohol content,Low bitterness,High foam,$30-$39,8.835,361,7.2684,10.4471
Brown color,Medium intensity aromas,Very intense alcohol content,Low bitterness,High foam,$40-$49,8.8333,362,7.1823,10.3765
Very dark color,Low intensity aromas,Medium alcohol content,Very intense bitterness,No or very low foam,$60-$69,8.831,363,8.1216,9.5428
Brown color,Medium intensity aromas,Very intense alcohol content,Medium bitterness,Medium foam,$60-$69,8.8198,364,7.3777,10.3725
Pale color,Intense aromas,Medium alcohol content,Low bitterness,Medium foam,$40-$49,8.8108,365,7.3334,10.1352
Very dark color,Intense aromas,Very intense alcohol content,No or very low bitterness,Low foam,$40-$49,8.8052,366,7.436,10.2648
Brown color,Medium intensity aromas,Very intense alcohol content,Medium bitterness,Medium foam,$30-$39,8.7962,367,7.283,10.442
Very dark color,Medium intensity aromas,Intense alcohol content,No or very low bitterness,No or very low foam,$30-$39,8.7938,368,7.4902,10.0988
Pale color,Low intensity aromas,Intense alcohol content,Medium bitterness,High foam,$30-$39,8.7937,369,7.3986,10.0067
Very dark color,Medium intensity aromas,Intense alcohol content,Low bitterness,High foam,$40-$49,8.7894,370,7.2185,10.509
Very dark color,Low intensity aromas,Intense alcohol content,Very intense bitterness,Low foam,$40-$49,8.787,371,7.3107,10.1547
Pale color,Medium intensity aromas,Intense alcohol content,Intense bitterness,Medium foam,$50-$59,8.7857,372,7.1309,10.4809
Very dark color,Intense aromas,Medium alcohol content,Medium bitterness,Low foam,$40-$49,8.7732,373,7.4049,10.052
Pale color,Intense aromas,Intense alcohol content,Medium bitterness,Medium foam,$40-$49,8.7696,374,7.1269,10.1545
Very dark color,Low intensity aromas,Intense alcohol content,Low bitterness,High foam,$60-$69,8.7562,375,6.9747,10.4724
Very dark color,Intense aromas,Very intense alcohol content,Very intense bitterness,Low foam,$40-$49,8.7334,376,6.9697,10.5303
Brown color,Medium intensity aromas,Medium alcohol content,Medium bitterness,Medium foam,$40-$49,8.7287,377,7.3533,10.423
Very dark color,Medium intensity aromas,Intense alcohol content,Very intense bitterness,No or very low foam,$30-$39,8.722,378,7.1105,10.1802
Brown color,Very intense aromas,Intense alcohol content,Low bitterness,Medium foam,$40-$49,8.7185,379,6.718,10.9722
Very dark color,Intense aromas,Very intense alcohol content,Low bitterness,High foam,$60-$69,8.7026,380,7.1751,10.4326
Amber color,Intense aromas,Medium alcohol content,Intense bitterness,Low foam,$40-$49,8.6946,381,6.862,10.5649
Very dark color,Low intensity aromas,Medium alcohol content,Low bitterness,No or very low foam,$70 or more,8.6668,382,7.1147,10.3991
Very dark color,Medium intensity aromas,Very intense alcohol content,Medium bitterness,High foam,$40-$49,8.6438,383,7.4021,9.9281
Very dark color,Low intensity aromas,Very intense alcohol content,Intense bitterness,No or very low foam,$50-$59,8.6419,384,7.1371,10.158
Very dark color,Intense aromas,Intense alcohol content,Medium bitterness,Low foam,$30-$39,8.631,385,6.5819,10.5399
Pale color,Medium intensity aromas,Low alcohol content,Medium bitterness,Medium foam,$30-$39,8.6252,386,7.1053,10.2359
Very dark color,Low intensity aromas,Very intense alcohol content,Intense bitterness,Medium foam,$40-$49,8.6207,387,7.2053,10.0717
Amber color,Medium intensity aromas,Medium alcohol content,Medium bitterness,Low foam,$60-$69,8.6137,388,6.8447,10.5054
Very dark color,Low intensity aromas,Very intense alcohol content,Medium bitterness,High foam,$60-$69,8.6106,389,7.4327,9.7123
Very dark color,Very intense aromas,Very intense alcohol content,Intense bitterness,No or very low foam,$30-$39,8.5818,390,6.5467,10.6108
Very dark color,Low intensity aromas,Medium alcohol content,Low bitterness,Medium foam,$50-$59,8.5577,391,7.2998,9.9958
Brown color,Very intense aromas,Very intense alcohol content,Low bitterness,Medium foam,$40-$49,8.5479,392,6.5511,10.7108
Very dark color,Very intense aromas,Very intense alcohol content,No or very low bitterness,No or very low foam,$40-$49,8.5305,393,7.2951,9.8574
Very dark color,Intense aromas,Intense alcohol content,Low bitterness,No or very low foam,$50-$59,8.5084,394,6.8887,10.2185
Very dark color,Very intense aromas,Medium alcohol content,Medium bitterness,No or very low foam,$40-$49,8.4984,395,6.772,10.1165
Very dark color,Very intense aromas,Medium alcohol content,Low bitterness,Medium foam,$30-$39,8.4976,396,6.9935,10.0192
Very dark color,Intense aromas,Intense alcohol content,Low bitterness,Medium foam,$40-$49,8.4871,397,6.9789,10.1346
Very dark color,Very intense aromas,Very intense alcohol content,Very intense bitterness,No or very low foam,$40-$49,8.4587,398,6.7178,10.0077
Brown color,Intense aromas,Intense alcohol content,Low bitterness,Low foam,$40-$49,8.4407,399,6.5523,10.4026
Brown color,Very intense aromas,Intense alcohol content,Medium bitterness,Low foam,$40-$49,8.4363,400,6.1905,10.7982
Pale color,Low intensity aromas,Intense alcohol content,Low bitterness,High foam,$30-$39,8.4234,401,6.8051,9.9349
Very dark color,Low intensity aromas,Intense alcohol content,Medium bitterness,No or very low foam,$50-$59,8.4164,402,6.8736,9.7661
Very dark color,Medium intensity aromas,Very intense alcohol content,Intense bitterness,No or very low foam,$60-$69,8.4059,403,7.0169,9.8895
Pale color,Intense aromas,Intense alcohol content,Low bitterness,Medium foam,$40-$49,8.3993,404,6.8564,9.7171
Very dark color,Low intensity aromas,Intense alcohol content,Medium bitterness,Medium foam,$40-$49,8.3951,405,6.7761,9.866
Amber color,Intense aromas,Medium alcohol content,Medium bitterness,Low foam,$50-$59,8.3759,406,6.5075,10.3463
Brown color,Medium intensity aromas,Intense alcohol content,Low bitterness,Medium foam,$50-$59,8.3731,407,7.0046,9.8711
Very dark color,Intense aromas,Very intense alcohol content,Medium bitterness,No or very low foam,$50-$59,8.3628,408,6.4105,10.0241
Very dark color,Intense aromas,Medium alcohol content,No or very low bitterness,No or very low foam,$30-$39,8.3627,409,7.218,9.61
Amber color,Medium intensity aromas,Medium alcohol content,Intense bitterness,Low foam,$50-$59,8.3612,410,6.5226,10.3594
Very dark color,Intense aromas,Medium alcohol content,Low bitterness,High foam,$40-$49,8.3583,411,6.6776,10.4091
Very dark color,Very intense aromas,Intense alcohol content,Medium bitterness,No or very low foam,$30-$39,8.3562,412,6.4102,10.0717
Very dark color,Low intensity aromas,Very intense alcohol content,Intense bitterness,High foam,$30-$39,8.3497,413,6.5924,10.0613
Very dark color,Very intense aromas,Medium alcohol content,Low bitterness,Low foam,$60-$69,8.3479,414,6.8891,10.0631
Very dark color,Intense aromas,Very intense alcohol content,Medium bitterness,Medium foam,$40-$49,8.3415,415,6.4447,10.0141
Amber color,Intense aromas,Medium alcohol content,Intense bitterness,Low foam,$30-$39,8.3304,416,6.7065,10.0324
Amber color,Intense aromas,Medium alcohol content,Medium bitterness,Low foam,$70 or more,8.3249,417,6.4876,10.142
Very dark color,Medium intensity aromas,Medium alcohol content,Low bitterness,Medium foam,$60-$69,8.3217,418,6.8149,10.0289
Amber color,Medium intensity aromas,Medium alcohol content,Intense bitterness,Low foam,$70 or more,8.3103,419,6.2764,10.3615
Very dark color,Medium intensity aromas,Intense alcohol content,Low bitterness,Low foam,$50-$59,8.299,420,6.599,10.0531
Very dark color,Low intensity aromas,Very intense alcohol content,No or very low bitterness,High foam,$40-$49,8.2984,421,6.9418,9.7771
Very dark color,Intense aromas,Medium alcohol content,Very intense bitterness,No or very low foam,$30-$39,8.2909,422,6.672,9.8882
Amber color,Medium intensity aromas,Medium alcohol content,Medium bitterness,Medium foam,$40-$49,8.2758,423,6.6989,10.0804
Brown color,Intense aromas,Very intense alcohol content,Low bitterness,Low foam,$40-$49,8.2701,424,6.3925,10.23
Very dark color,Low intensity aromas,Medium alcohol content,Medium bitterness,High foam,$40-$49,8.2663,425,6.8163,9.848
Brown color,Very intense aromas,Very intense alcohol content,Medium bitterness,Low foam,$40-$49,8.2657,426,6.1708,10.4071
Pale color,Medium intensity aromas,Low alcohol content,Low bitterness,Medium foam,$30-$39,8.255,427,6.6979,9.8813
Pale color,Medium intensity aromas,Medium alcohol content,Intense bitterness,High foam,$30-$39,8.2342,428,6.6059,9.7781
Very dark color,Low intensity aromas,Very intense alcohol content,Very intense bitterness,High foam,$40-$49,8.2266,429,6.8292,9.5098
Very dark color,Intense aromas,Intense alcohol content,Low bitterness,High foam,$30-$39,8.2161,430,6.3641,9.9294
Pale color,Intense aromas,Medium alcohol content,Medium bitterness,Medium foam,$50-$59,8.2129,431,6.2013,10.2571
Brown color,Medium intensity aromas,Very intense alcohol content,Low bitterness,Medium foam,$50-$59,8.2025,432,6.7995,9.8333
Very dark color,Medium intensity aromas,Intense alcohol content,Medium bitterness,No or very low foam,$60-$69,8.1803,433,6.6179,9.6576
Very dark color,Medium intensity aromas,Very intense alcohol content,Medium bitterness,Low foam,$50-$59,8.1534,434,6.2613,10.0288
Very dark color,Medium intensity aromas,Medium alcohol content,No or very low bitterness,Low foam,$30-$39,8.1533,435,6.9768,9.4627
Brown color,Medium intensity aromas,Intense alcohol content,Low bitterness,Medium foam,$60-$69,8.1474,436,6.8213,9.5827
Very dark color,Low intensity aromas,Intense alcohol content,Medium bitterness,High foam,$30-$39,8.1241,437,6.3826,9.6013
Brown color,Medium intensity aromas,Intense alcohol content,Low bitterness,Medium foam,$30-$39,8.1237,438,6.7516,9.6246
Brown color,Medium intensity aromas,Intense alcohol content,Medium bitterness,Low foam,$50-$59,8.091,439,6.6619,9.6643
Very dark color,Medium intensity aromas,Medium alcohol content,Very intense bitterness,Low foam,$30-$39,8.0815,440,6.6217,9.4225
Very dark color,Intense aromas,Very intense alcohol content,Medium bitterness,High foam,$30-$39,8.0706,441,6.129,9.7809
Very dark color,Medium intensity aromas,Medium alcohol content,Intense bitterness,No or very low foam,$40-$49,8.0616,442,6.46,9.7064
Very dark color,Low intensity aromas,Medium alcohol content,Intense bitterness,No or very low foam,$60-$69,8.0284,443,6.8262,9.2007
Very dark color,Low intensity aromas,Intense alcohol content,Intense bitterness,Low foam,$40-$49,7.9844,444,6.3357,9.5751
Brown color,Medium intensity aromas,Very intense alcohol content,Low bitterness,Medium foam,$60-$69,7.9768,445,6.6883,9.4935
Brown color,Medium intensity aromas,Very intense alcohol content,Low bitterness,Medium foam,$30-$39,7.9532,446,6.6085,9.371
Very dark color,Intense aromas,Very intense alcohol content,Intense bitterness,Low foam,$40-$49,7.9308,447,6.2067,9.6988
Brown color,Medium intensity aromas,Very intense alcohol content,Medium bitterness,Low foam,$50-$59,7.9204,448,6.5933,9.4617
Very dark color,Medium intensity aromas,Intense alcohol content,Intense bitterness,No or very low foam,$30-$39,7.9194,449,6.093,9.6907
Very dark color,Very intense aromas,Very intense alcohol content,Low bitterness,Medium foam,$60-$69,7.9162,450,6.4233,9.6164
Amber color,Medium intensity aromas,Medium alcohol content,Medium bitterness,Medium foam,$30-$39,7.9116,451,6.0808,9.7183
Brown color,Medium intensity aromas,Medium alcohol content,Low bitterness,Medium foam,$40-$49,7.8857,452,6.6436,9.4334
Very dark color,Medium intensity aromas,Intense alcohol content,No or very low bitterness,No or very low foam,$40-$49,7.8681,453,6.599,9.1561
Very dark color,Intense aromas,Medium alcohol content,Low bitterness,Low foam,$50-$59,7.8679,454,6.42,9.2906
